日期,時間,賽事編號,球隊,得分,總比分,讓分,讓分賠率,不讓分賠率,大小分,大小分賠率,單雙賠率
2022/4/19,AM 08:30,20220419-1,達拉斯獨行俠,110,104 : 110,4.5,主1.75,2.3,207.5,小1.75,雙1.75
2022/4/19,AM 10:00,20220419-2,丹佛金塊,106,106 : 126,8.5,客1.75,3.3,223.5,大1.8,單1.75
2022/4/19,AM 10:00,20220419-2,金州勇士,126,106 : 126,-8.5,主1.75,1.18,223.5,小1.7,雙1.75
2022/4/20,AM 07:30,20220420-0,亞特蘭大老鷹,105,105 : 115,9.5,客1.75,3.5,219.5,大1.75,單1.75
2022/4/20,AM 07:30,20220420-0,邁阿密熱火,115,105 : 115,-9.5,主1.75,1.15,219.5,小1.75,雙1.75
2022/4/20,AM 08:30,20220420-1,明尼蘇達灰狼,96,96 : 124,6.5,客1.8,2.7,239.5,大1.75,單1.75
2022/4/20,AM 08:30,20220420-1,曼斐斯灰熊,124,96 : 124,-6.5,主1.7,1.28,239.5,小1.75,雙1.75
2022/4/20,AM 10:00,20220420-2,紐奧良鵜鶘,125,125 : 114,10.5,客1.8,3.75,222.5,大1.7,單1.75
2022/4/20,AM 10:00,20220420-2,鳳凰城太陽,114,125 : 114,-10.5,主1.7,1.12,222.5,小1.8,雙1.75
2022/4/21,AM 07:00,20220421-0,布魯克林籃網,107,107 : 114,2.5,客1.7,1.9,224.5,大1.7,單1.75
